station,level_1,year,month,PM2.5,PM10,SO2,NO2,CO,O3,RAIN,TEMP,PRES,DEWP,date
Aotizhongxin,0,2013,3,110.09274193548387,144.62298387096774,0.13107596198439364,0.25283822477971923,0.1391646980558271,0.11021299878145165,0.02620967741935484,6.053629032258064,1012.5474462365592,-5.729435483870968,2013-03-01
Aotizhongxin,1,2013,4,62.75138888888889,108.20416666666667,0.07194015150388583,0.17882421392746914,0.08181944444444444,0.1151282740443138,0.01513888888888889,12.260694444444445,1008.2969444444445,-1.553611111111111,2013-04-01
Aotizhongxin,2,2013,5,85.39448924731182,140.77822580645162,0.08850992004175719,0.20491711469534052,0.08530588139459107,0.1755663768796174,0.0077956989247311825,21.374193548387098,1003.1622311827956,9.790456989247312,2013-05-01
Aotizhongxin,3,2013,6,106.20347222222222,128.71666666666667,0.04209295559891543,0.24582750819830246,0.12072369528619528,0.16179065833494566,0.13069444444444445,23.386111111111113,1000.1655555555554,18.009027777777778,2013-06-01
Aotizhongxin,4,2013,7,68.91129032258064,85.27150537634408,0.02641400615314327,0.18439368652927118,0.07278300477897252,0.1674954894798478,0.2938172043010753,26.877419354838707,996.033064516129,21.45994623655914,2013-07-01
Aotizhongxin,5,2013,8,62.28965053763441,84.45564516129032,0.01946687812116169,0.188699662578405,0.06837867926577604,0.16542438554652428,0.15806451612903225,26.744354838709675,999.3168010752687,20.47043010752688,2013-08-01
Aotizhongxin,6,2013,9,79.32708333333333,104.82222222222222,0.03971366895232162,0.21582528308256171,0.09741806958473624,0.08746577397401291,0.07833333333333334,20.07777777777778,1009.3551388888889,14.783888888888889,2013-09-01
Aotizhongxin,7,2013,10,95.28225806451613,120.08602150537635,0.06498076312721185,0.2486479040658602,0.10094900619094167,0.048431496020733385,0.003763440860215054,12.80981182795699,1016.2689516129032,5.981854838709677,2013-10-01
Aotizhongxin,8,2013,11,77.28263888888888,105.63333333333334,0.07535786896917511,0.20122010030864199,0.1372895622895623,0.044026288121418566,0.0,5.530972222222222,1016.9720833333333,-6.101111111111111,2013-11-01
Aotizhongxin,9,2013,12,76.72177419354838,106.6760752688172,0.12328291845427682,0.20886809452471625,0.17107228195937874,0.03478417528768489,0.0,-0.16129032258064516,1019.95,-12.480779569892475,2013-12-01
Aotizhongxin,10,2014,1,95.37903225806451,125.41868279569893,0.17044165694705138,0.2247213821684588,0.17811176278918212,0.036739909022386726,0.0,-0.13830645161290323,1020.0513440860215,-12.156989247311827,2014-01-01
Aotizhongxin,11,2014,2,149.55580357142858,156.28720238095238,0.16753609334917904,0.22765790343915343,0.20614628427128429,0.04674936260079375,0.008482142857142858,-0.09732142857142859,1022.3886904761904,-8.91889880952381,2014-02-01
